"v_timeStamp","v_libraryCard","v_libraryVisits","v_itemsYear","v_scifiYear","v_DoULike_Novel","v_DoULike_YA","v_DoULike_SS","v_DoULike_Audio","v_printVsE","v_bookChoice[0]","v_bookChoice[1]","v_bookChoice[2]","v_bookChoice[3]","v_bookChoice[4]","v_bookChoice[5]","v_bookChoice[6]","v_bookChoice[7]","v_bookChoice[8]","v_bookChoice[9]","v_bookChoice[10]","v_bookChoice[11]","v_bookChoiceOthr","v_DescribU_IndProf","v_DescribU_Academic","v_DescribU_ProWriter","v_DescribU_Teacher","v_DescribU_Librarian","v_Age","v_Education","v_Gender","v_HHPeeps","v_HHIncome","v_Zip"
"2018/04/26 12:35:11 PM MDT","2","2","3","2","1","1","1","0","5","2","5","4","4","5","4","2","2","3","4","3","1","","0","0","1","0","0","5","7","2","2","3","91020"
"2018/04/26 12:50:00 PM MDT","2","4","4","3","1","1","1","0","2","4","5","1","4","5","3","1","3","4","2","3","5","personally recommended by a friend","0","0","0","0","0","5","7","1","2","4","91208"
"2018/04/26 2:03:30 PM MDT","2","4","4","3","1","1","0","0","4","3","3","5","2","5","3","2","3","4","4","4","4","If the cover art grabs me","0","0","0","0","1","5","7","1","2","3","91020"
"2018/04/26 4:09:33 PM MDT","2","4","4","2","1","1","1","1","4","3","4","2","4","5","3","1","2","4","2","4","3","","0","0","0","0","1","4","7","1","2","3","11776"
"2018/04/26 4:09:52 PM MDT","2","4","4","4","1","1","0","1","2","3","3","2","3","3","1","3","1","2","1","4","2","","0","0","0","0","1","5","7","1","2","-1","53704"
"2018/04/26 4:14:20 PM MDT","2","4","4","3","1","1","1","1","6","2","4","3","4","5","4","2","3","3","2","4","4","read about author, read book summary from cover, read information on the library's catalog","0","0","0","0","1","6","7","1","2","4","93291"
"2018/04/26 4:17:36 PM MDT","2","3","4","2","1","0","1","0","2","3","4","3","4","5","3","3","2","5","4","4","4","","0","0","0","1","0","5","7","2","1","2","92504"
"2018/04/26 4:18:55 PM MDT","2","4","3","1","1","1","1","0","3","2","3","2","3","4","3","2","2","2","3","4","3","The blurb/summary sounding interesting to me","0","0","0","0","1","4","7","1","1","2","48240"
"2018/04/26 4:21:27 PM MDT","2","4","4","2","1","1","1","0","1","3","3","4","1","4","5","3","4","3","2","3","4","","0","0","0","0","1","4","7","1","3","2","-1"
"2018/04/26 4:21:36 PM MDT","2","4","4","2","1","1","1","0","2","2","4","3","3","4","4","3","2","3","1","2","-1","I love authors who are favorites of other authors.","0","0","0","0","1","6","6","1","2","-1","06019"
"2018/04/26 4:21:40 PM MDT","2","4","3","1","1","1","0","0","3","4","4","4","3","5","3","3","3","4","4","3","2","","0","0","0","0","1","4","6","1","1","2","30141"
"2018/04/26 4:24:09 PM MDT","2","4","3","3","1","1","0","0","1","1","3","3","3","3","4","2","1","1","1","3","1","","0","0","0","0","1","5","7","1","1","-1","48335"
"2018/04/26 4:25:53 PM MDT","2","2","3","2","1","1","1","1","4","2","3","1","2","3","1","1","1","4","2","1","1","","0","1","1","0","0","5","8","1","2","-1","13224"
"2018/04/26 4:27:10 PM MDT","2","4","4","3","1","1","0","0","1","3","3","4","3","3","2","2","2","2","2","3","3","","0","0","0","1","1","5","7","1","2","2","53590"
"2018/04/26 4:30:02 PM MDT","2","4","4","3","1","1","1","1","2","3","4","3","3","4","2","3","1","2","2","2","2","","0","0","0","0","1","5","7","1","2","3","85345"
"2018/04/26 4:34:04 PM MDT","2","4","4","4","1","1","0","0","3","4","4","4","4","4","4","4","2","3","2","4","4","","0","0","0","0","1","5","7","1","3","4","83440"
"2018/04/26 4:35:09 PM MDT","2","4","4","4","1","1","1","1","2","3","2","2","4","2","2","1","2","4","3","4","4","I follow a few POC on social media who do literature reviews in the sci fi/fantasty genres","0","0","0","0","1","4","7","1","2","3","02539"
"2018/04/26 4:36:36 PM MDT","2","4","4","2","1","0","0","1","4","2","4","3","3","5","1","1","1","4","1","3","1","","0","0","0","0","1","5","4","1","2","-1","56540"
"2018/04/26 4:36:47 PM MDT","2","2","3","2","1","0","1","0","4","3","4","1","2","5","1","3","1","5","4","3","1","","0","1","0","0","0","5","7","2","2","4","90631"
"2018/04/26 4:45:22 PM MDT","2","4","4","2","1","1","0","1","1","2","3","3","4","4","4","3","4","5","2","3","3","","0","0","0","0","1","4","7","1","1","3","77062"
"2018/04/26 4:47:04 PM MDT","2","4","4","2","1","0","0","1","1","2","2","2","2","2","2","2","1","1","2","3","1","","0","0","0","0","1","4","7","2","2","4","91780"
"2018/04/26 4:48:15 PM MDT","2","4","4","2","1","1","1","1","2","3","3","3","4","3","3","2","2","2","3","4","3","","0","0","0","0","1","4","7","1","3","2","92203"
"2018/04/26 4:49:39 PM MDT","2","4","4","2","1","1","0","1","4","1","2","1","1","1","5","1","3","4","1","5","3","A good summary or a read alike to another book I have enjoyed","0","0","0","0","1","5","7","1","3","4","08844"
"2018/04/26 4:51:57 PM MDT","2","4","4","2","1","0","0","0","2","3","1","1","2","1","1","1","2","3","2","2","3","","0","0","0","0","1","5","7","1","1","2","59701"
