"Timestamp","Do you have a library card?","About how many times a year do you visit a public library?","About how many items per year does your household check out from a public library?","Of the above, about how many are speculative fiction (sci-fi, fantasy, horror, alternate history, and similar)?","Do you like to read any of the following (mark all that apply)?","What is your preference for print versus electronic books?","When choosing a book to read, how important are the following factors? [High rating online (e.g. on Goodreads or Amazon)]","When choosing a book to read, how important are the following factors? [I recognize the author.]","When choosing a book to read, how important are the following factors? [It is the first book in a series.]","When choosing a book to read, how important are the following factors? [I am a big fan of this sub-genre.]","When choosing a book to read, how important are the following factors? [I have read other books in this series.]","When choosing a book to read, how important are the following factors? [The library has several other books in this series.]","When choosing a book to read, how important are the following factors? [This book ties in with or is related to a movie or TV show that I like. ]","When choosing a book to read, how important are the following factors? [The book is on the ""new books"" shelf or has a ""new"" sticker.]","When choosing a book to read, how important are the following factors? [I read a review of this book.]","When choosing a book to read, how important are the following factors? [I've heard this book is a ""classic"".]","When choosing a book to read, how important are the following factors? [A library employee recommended this book.]","When choosing a book to read, how important are the following factors? [This book won a reward.]","When choosing a book to read, how important are the following factors? [Other (please write in below)]","If you filled in anything for ""other"" above, what did you have in mind?","Do any of the following describe you? (mark all that apply)","What is your age?","What is the highest level of education you have completed?","What is your gender?","How many people live in your household?","What is your annual household income?","What is your zip code?"
"2018/04/26 12:35:11 PM MDT","Yes","4-10 times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","5","Not Very Important","Extremely Important","Very Important","Very Important","Extremely Important","Very Important","Not Very Important","Not Very Important","Moderately Important","Very Important","Moderately Important","Not At All Important","","","Professional Writer (more than half your income comes from writing)","35-54","Masters Degree and/or professional license","Male","2-3","$50,001 to $100,000","91020"
"2018/04/26 12:50:00 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction","2","Very Important","Extremely Important","Not At All Important","Very Important","Extremely Important","Moderately Important","Not At All Important","Moderately Important","Very Important","Not Very Important","Moderately Important","Extremely Important","Extremely Important","personally recommended by a friend","","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","91208"
"2018/04/26 2:03:30 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","4","Moderately Important","Moderately Important","Extremely Important","Not Very Important","Extremely Important","Moderately Important","Not Very Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","Very Important","If the cover art grabs me","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","91020"
"2018/04/26 4:09:33 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Very Important","Not Very Important","Very Important","Extremely Important","Moderately Important","Not At All Important","Not Very Important","Very Important","Not Very Important","Very Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","11776"
"2018/04/26 4:09:52 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Audiobooks","2","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Moderately Important","Not At All Important","Not Very Important","Not At All Important","Very Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","53704"
"2018/04/26 4:14:20 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","6","Not Very Important","Very Important","Moderately Important","Very Important","Extremely Important","Very Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Very Important","Very Important","Extremely Important","read about author, read book summary from cover, read information on the library's catalog","Public Librarian","55-64","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","93291"
"2018/04/26 4:17:36 PM MDT","Yes","11-20 times per year","More than fifty items","6-20 items","Adult Novels;Short Fiction","2","Moderately Important","Very Important","Moderately Important","Very Important","Extremely Important","Moderately Important","Moderately Important","Not Very Important","Extremely Important","Very Important","Very Important","Very Important","","","Primary or Secondary Teacher or School Librarian","35-54","Masters Degree and/or professional license","Male","One","$20,000 to $50,000","92504"
"2018/04/26 4:18:55 PM MDT","Yes","21 or more times per year","21-50 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction","3","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Very Important","Moderately Important","Extremely Important","The blurb/summary sounding interesting to me","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$20,000 to $50,000","48240"
"2018/04/26 4:21:27 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","1","Moderately Important","Moderately Important","Very Important","Not At All Important","Very Important","Extremely Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Moderately Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","4-6","$20,000 to $50,000",""
"2018/04/26 4:21:36 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","2","Not Very Important","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Moderately Important","Not Very Important","Moderately Important","Not At All Important","Not Very Important","","Moderately Important","I love authors who are favorites of other authors.","Public Librarian","55-64","Bachelors degree","Female","2-3","Don't know or prefer not to say","06019"
"2018/04/26 4:21:40 PM MDT","Yes","21 or more times per year","21-50 items","2-5 items","Young Adult Novels;Adult Novels","3","Very Important","Very Important","Very Important","Moderately Important","Extremely Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Very Important","Moderately Important","Not Very Important","","","Public Librarian","25-34","Bachelors degree","Female","One","$20,000 to $50,000","30141"
"2018/04/26 4:24:09 PM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels","1","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Moderately Important","Not At All Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","One","Don't know or prefer not to say","48335"
"2018/04/26 4:25:53 PM MDT","Yes","4-10 times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Not Very Important","Moderately Important","Not At All Important","Not Very Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","","Humanities Scholar or Academic Librarian;Professional Writer (more than half your income comes from writing)","35-54","Doctorate","Female","2-3","Don't know or prefer not to say","13224"
"2018/04/26 4:27:10 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","1","Moderately Important","Moderately Important","Very Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","","","Public Librarian;Primary or Secondary Teacher or School Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000","53590"
